feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F180,30870,0.7112301540636453,0.6111643525039201,0.8733333333333333,0.88
F181,28724,0.7369425692769065,0.471008912151656,0.7666666666666666,0.88
F182,2434,0.937194039018067,0.8786234528821353,0.9933333333333334,1.0
F183,18492,0.7954281905381498,0.740624561435332,0.9600000000000001,1.0
F184,9869,0.9043825929857837,0.9302856084583622,0.9400000000000001,1.0
F185,24206,0.7509597343329558,0.685241016664026,0.92,0.8200000000000001
F186,32764,0.22968054892253584,0.3841595703242984,0.54,0.72
F187,22411,0.5821959957490289,0.4380789871617878,1.0,0.44
F188,19654,0.6890684230910278,0.7123897120863975,0.9,0.88
F189,28469,-0.26122085310682863,-0.34703370112590404,0.3866666666666666,0.32
F190,31149,0.4247338924668268,0.4477895301110999,0.8266666666666668,0.36
F191,5320,0.8041253038338846,0.6270577255401671,0.9466666666666667,0.88
F193,25532,0.6745303212638268,0.5197054726345944,0.7866666666666666,1.0
F194,24167,0.7043416984235178,0.6816533586451498,0.9066666666666666,0.8
F195,26057,0.5359757377497326,0.5445899126560414,0.88,0.4
F196,29908,0.6948299923122396,0.6582296635651815,0.9600000000000001,0.8200000000000001
F197,15160,0.3863360178888553,0.3208765184584247,0.7666666666666667,0.62
F198,9782,0.7013396370344307,0.6723634894307805,0.84,0.9400000000000001
F199,26938,0.31786595425219977,0.3306907221494898,0.74,0.48
F200,24856,0.7757807752500547,0.7468996236819053,0.8600000000000001,1.0
F201,12613,0.686456757496706,0.7231103247295492,0.8666666666666666,0.86
F202,453,0.8041133003966443,0.8314949944670359,0.8933333333333333,0.8
F203,15797,0.3939816798959441,0.45909984729757947,0.8666666666666667,0.38
F204,8307,0.6633550350552536,0.5972339760079183,1.0,0.76
F205,16792,0.4782265852810973,0.6012741557619493,0.96,0.48
F206,22475,0.8600907699455369,0.8078463519051697,0.8666666666666667,0.96
F207,15228,0.5485775278669818,0.5916014627587988,0.7400000000000001,0.88
F208,1871,0.48805344871551826,0.5511970223159727,0.9066666666666667,0.66
F209,16965,0.7240061162079511,0.7168103197479424,1.0,0.76
F210,16074,0.9150517533677662,0.7332970321936159,0.9666666666666667,0.9
F211,32482,0.6548493591788154,0.5488639715277132,0.8,0.8600000000000001
F216,24188,0.7121565788596123,0.8454436377435847,0.8533333333333333,0.92
F217,4737,-0.27991613723340575,-0.25082001318414343,0.4666666666666667,0.26
F218,20904,0.7440994289640941,0.6917824546647605,0.9333333333333333,0.8
