feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F181,28724,0.6998344297594365,0.7006554863816779,0.8,0.8600000000000001
F182,2434,0.9136478394836854,0.8722313792834309,0.9266666666666667,0.98
F183,18492,0.7900082992484739,0.7896661733182235,0.9,1.0
F184,9869,0.8714321432766186,0.929798891260933,0.9,1.0
F185,24206,0.6608042671981238,0.693904426782116,0.8933333333333333,0.74
F186,32764,0.2975942649227027,0.3301397893753736,0.5666666666666667,0.78
F187,22411,0.5188329934285483,0.3924133082616031,1.0,0.32
F188,19654,0.6049346537529866,0.6502135557724017,0.8333333333333333,0.84
F189,28469,-0.3812165887125117,-0.32634856896047615,0.33333333333333337,0.28
F190,31149,0.47368434832774403,0.46434144556636764,0.86,0.38
F191,5320,0.7693654337072677,0.672032020112625,0.9466666666666667,0.84
F193,25532,0.6255908322632455,0.5527732489441145,0.78,1.0
F194,24167,0.7324300736025898,0.7609022934641709,0.8733333333333333,0.96
F195,26057,0.6005394479979719,0.5745961470775359,0.9133333333333333,0.4
F196,29908,0.7123834853045141,0.6744071065740458,0.9866666666666667,0.84
F197,15160,0.2545527593093361,0.3095816108798644,0.7066666666666668,0.52
F198,9782,0.7334244178846814,0.6641024563689242,0.8266666666666667,0.9400000000000001
F199,26938,0.49027178107310687,0.4343452204477524,0.92,0.5
F200,24856,0.8589419300113732,0.74374991883344,0.9333333333333335,0.9600000000000001
F201,12613,0.7027051974115969,0.7547181144027477,0.8799999999999999,0.92
F202,453,0.7965184644239341,0.8239445697105809,0.8799999999999999,0.8400000000000001
F203,15797,0.38624762066463914,0.4544360621110975,0.8666666666666667,0.38
F204,8307,0.7033639143730888,0.6753794335751501,1.0,0.88
F205,16792,0.42246071952484615,0.5623140574586022,1.0,0.4
F206,22475,0.8671477905825065,0.8300891255441559,0.9,0.96
F207,15228,0.5749175833412009,0.6121540498358642,0.7200000000000001,0.92
F208,1871,0.4789817208771717,0.47911143798538447,0.8666666666666667,0.72
F209,16965,0.7630177400315044,0.7894032770511561,1.0,0.84
F210,16074,0.9127622500684084,0.7200290383465364,0.9666666666666667,0.9
F211,32482,0.786815599965626,0.7302260132304336,0.9400000000000001,0.92
F216,24188,0.726300543235427,0.7974942625291837,0.88,0.92
F217,4737,-0.2047859465727233,-0.19831460580370594,0.5466666666666666,0.16
F218,20904,0.8313695293320302,0.7667573133328434,0.9933333333333334,0.84
