representation,top_n,label,n_observations,n_features_mean,auc_mean,auc_std,auc_se,average_precision_mean,average_precision_std,average_precision_se,f1_mean,f1_std,f1_se,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_se
Random SAE-n,200,GI,100,200.0,0.6966643653470925,0.03362737490190445,0.003362737490190445,0.27395851772762836,0.03730292440756887,0.003730292440756887,0.3161128807464603,0.025173524486136235,0.0025173524486136233,0.6470624177035483,0.027009828287378093,0.0027009828287378095
Random SAE-n,200,QUC,100,200.0,0.7088740667028759,0.03946783419308182,0.0039467834193081825,0.31628006306168255,0.06586312254581494,0.006586312254581494,0.35518324136397034,0.04741208383591023,0.004741208383591023,0.6593420778317263,0.03572082309833284,0.003572082309833284
Random SAE-n,200,QUO,100,200.0,0.7703534717232096,0.04243353233378701,0.004243353233378701,0.5279745683830551,0.08610373324678938,0.008610373324678938,0.5259539159525637,0.0546629320316841,0.00546629320316841,0.7073082430697332,0.04023382004483542,0.004023382004483542
Random SAE-n,200,REC,100,200.0,0.7703763809000702,0.028113459656576436,0.0028113459656576435,0.433428932559609,0.043676341959203877,0.004367634195920388,0.4596797081735827,0.030824467478606465,0.0030824467478606466,0.7084534070750537,0.024571515527547685,0.0024571515527547685
Random SAE-n,200,RES,100,200.0,0.6993785308827717,0.03843705518285239,0.003843705518285239,0.1722245551712383,0.030762494783320212,0.003076249478332021,0.2410025213177466,0.02665313664178455,0.002665313664178455,0.6536330103169468,0.03553089282226066,0.0035530892822260656
Random SAE-n,200,SU,100,200.0,0.773402613283963,0.0509545925448061,0.00509545925448061,0.12786160463677634,0.042427670311494914,0.0042427670311494916,0.14877853372087263,0.031245296231623646,0.0031245296231623646,0.704436366277426,0.053388963447943236,0.005338896344794323
Stable Core SAE,-1,AF,5,43.0,0.904704010689837,0.03445386642629476,0.015408237483378566,0.5803128338566477,0.07901267240941387,0.0353355413182743,0.49271166230888824,0.03959847619081731,0.017708976913614886,0.8518831492729346,0.026663464292346152,0.011924263734664865
Stable Core SAE,-1,GI,5,26.0,0.7336554084387461,0.03313899303036317,0.014820208224356759,0.4312992047549661,0.04356351653539292,0.01948219686241494,0.4163746854732938,0.031482626611626346,0.014079458642768076,0.7014933484483173,0.030862416895143702,0.013802092425495863
Stable Core SAE,-1,QUC,5,40.0,0.9087912495355696,0.02060021882728115,0.00921269792983433,0.6584459390520289,0.0819370262844841,0.03664335212925869,0.60271711556119,0.030151563271768888,0.01348418902071224,0.8317101740293971,0.01813461677080061,0.008110047169083577
Stable Core SAE,-1,QUO,5,42.0,0.9441998713960121,0.00778667011272679,0.0034823047380846102,0.8449310529599451,0.02285494186616412,0.010221040726909774,0.7667050974985499,0.011436905244205172,0.00511473951565332,0.8730841631698212,0.009255939209486894,0.004139381853603672
Stable Core SAE,-1,REC,5,46.0,0.8755002589007285,0.015744202067871377,0.0070410212150506316,0.6488426305632137,0.028911893619046152,0.012929791898085921,0.5717041035944564,0.02772425053534051,0.012398661764451263,0.7863238505735133,0.01793984508259579,0.008022942622099903
Stable Core SAE,-1,RES,5,14.0,0.7593080519883467,0.030532102251476997,0.013654371226055388,0.2840669705112701,0.042938603813172486,0.019202727397037073,0.30079088197722886,0.014982526642170821,0.006700389609319124,0.7024221650497187,0.03041798419420735,0.013603336079352359
Stable Core SAE,-1,SU,5,17.0,0.8433265357948588,0.06309352676138454,0.028216282955731593,0.44959087109787743,0.1024450673767116,0.04581482692277463,0.24030799886995768,0.01975912106565695,0.008836547575691404,0.7773837875356222,0.04413335530586551,0.01973703650781326
Top-n SAE,10,AF,5,10.0,0.8763200296517205,0.027256962944580625,0.012189684400855022,0.5907799507160062,0.05899842422229909,0.026384897425286186,0.4761989533274426,0.03471184065538075,0.01552360706591444,0.8303439583078684,0.026248792157947523,0.01173881671848681
Top-n SAE,10,GI,5,10.0,0.6513462241788176,0.02283645833431976,0.01021277464017612,0.30639205330550456,0.026771472295635316,0.011972566382158581,0.35529899639895196,0.018893681297522245,0.008449511145295234,0.6407644431583331,0.01567596413368542,0.00701050428315384
Top-n SAE,10,QUC,5,10.0,0.8743091305260224,0.025749510816033147,0.011515531314403239,0.5645173995169128,0.05719271304350252,0.025577358836582104,0.5197642866467348,0.026401167942290908,0.011806961240870143,0.7833661302790829,0.01953534606077931,0.008736472351177055
Top-n SAE,10,QUO,5,10.0,0.9305468951727598,0.006969094794493704,0.00311667394042557,0.7835119377363167,0.02892551102899697,0.012935881788951421,0.7494918359258776,0.01661171868261911,0.007428986439487917,0.8657566586667705,0.010695484333540251,0.004783166004416007
Top-n SAE,10,REC,5,10.0,0.821310791039507,0.042021392247821816,0.018792537915062454,0.5490644144996407,0.05436123925179669,0.02431108526162944,0.5390520790222164,0.04534882177850374,0.020280609639251452,0.7560959679738881,0.03601699072474397,0.016107287921101388
Top-n SAE,10,RES,5,10.0,0.7564167469921814,0.026765902199642942,0.011970075359502553,0.27181492173656696,0.029786908511196232,0.013321110454120365,0.29735966745598436,0.021980398593420974,0.009829933085486011,0.6929355480963675,0.030605753878701274,0.01368730923508078
Top-n SAE,10,SU,5,10.0,0.7604015143591312,0.056375700889427685,0.02521197989359113,0.2695952936625311,0.1121015006025902,0.050133315145425066,0.2007858218968889,0.04009441352899136,0.017930766833762383,0.7157158127012443,0.05799387334762205,0.02593564861675924
