label,latent_idx,final_selected,selection_count,selection_frequency,mean_selected_step,candidate_order,candidate_source,edge_type,stable_edge,positive_support,negative_boundary,association_rank,directional_auc,abs_cohens_d,formal_edge_weight
REC,10181,True,2,0.4,10.0,8,filtered_top200,filtered_topk,False,False,False,8,0.6328959,0.79068595,0.0
REC,15068,False,1,0.2,2.0,9,filtered_top200,filtered_topk,False,False,False,9,0.65326285,0.7785894,0.0
REC,19435,False,1,0.2,3.0,10,filtered_top200,filtered_topk,False,False,False,10,0.66014326,0.77741927,0.0
REC,21800,False,1,0.2,7.0,11,filtered_top200,filtered_topk,False,False,False,11,0.5943997,0.7675462,0.0
REC,23670,False,0,0.0,,12,filtered_top200,filtered_topk,False,False,False,12,0.5766038,0.7631803,0.0
REC,29874,False,1,0.2,14.0,13,filtered_top200,filtered_topk,False,False,False,13,0.60145617,0.7594772,0.0
REC,29190,False,0,0.0,,14,filtered_top200,filtered_topk,False,False,False,14,0.59408224,0.7528769,0.0
REC,3805,False,0,0.0,,15,filtered_top200,filtered_topk,False,False,False,15,0.6209495,0.72683,0.0
REC,19005,True,2,0.4,6.5,16,filtered_top200,filtered_topk,False,False,False,16,0.6575159,0.71487623,0.0
REC,7054,False,1,0.2,17.0,17,filtered_top200,filtered_topk,False,False,False,17,0.62547797,0.70666254,0.0
REC,28688,False,0,0.0,,18,filtered_top200,filtered_topk,False,False,False,18,0.58109325,0.6942208,0.0
REC,2089,False,0,0.0,,19,filtered_top200,filtered_topk,False,False,False,19,0.5900643,0.6926938,0.0
REC,30091,True,2,0.4,11.5,20,filtered_top200,filtered_topk,False,False,False,20,0.5798808,0.6875316,0.0
REC,22558,False,1,0.2,15.0,21,filtered_top200,filtered_topk,False,False,False,21,0.6156733,0.6833253,0.0
REC,111,False,0,0.0,,22,filtered_top200,filtered_topk,False,False,False,22,0.63107425,0.6831903,0.0
REC,12852,False,1,0.2,1.0,23,filtered_top200,filtered_topk,False,False,False,23,0.67354846,0.6767032,0.0
REC,14875,False,0,0.0,,24,filtered_top200,filtered_topk,False,False,False,24,0.65040785,0.6760484,0.0
REC,5663,False,0,0.0,,25,filtered_top200,filtered_topk,False,False,False,25,0.6522845,0.6693256,0.0
REC,11405,True,2,0.4,6.5,26,filtered_top200,filtered_topk,False,False,False,26,0.65262675,0.66370505,0.0
REC,31867,False,0,0.0,,27,filtered_top200,filtered_topk,False,False,False,27,0.6186815,0.661754,0.0
REC,26968,False,0,0.0,,28,filtered_top200,filtered_topk,False,False,False,28,0.62025523,0.660263,0.0
REC,8034,False,0,0.0,,29,filtered_top200,filtered_topk,False,False,False,29,0.5949098,0.6549882,0.0
REC,13169,False,0,0.0,,30,filtered_top200,filtered_topk,False,False,False,30,0.62020236,0.65278846,0.0
REC,32596,False,0,0.0,,31,filtered_top200,filtered_topk,False,False,False,31,0.61685383,0.6527156,0.0
